Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_45,VGND,li1,28.0600,65.2800,0.000085
FILLER_19_23,VGND,li1,16.5600,65.2800,0.000081
FILLER_19_15,VGND,li1,14.2600,65.2800,0.000083
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000083
FILLER_18_161,VGND,li1,80.0400,59.8400,0.000515
FILLER_18_132,VGND,li1,68.0800,59.8400,0.000494
FILLER_18_120,VGND,li1,63.4800,59.8400,0.000482
FILLER_18_97,VGND,li1,50.8300,59.8400,0.000446
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000411
FILLER_18_82,VGND,li1,43.7000,59.8400,0.000369
FILLER_18_74,VGND,li1,41.4000,59.8400,0.000349
FILLER_18_62,VGND,li1,36.8000,59.8400,0.000298
FILLER_18_57,VGND,li1,31.9700,59.8400,0.000225
FILLER_18_53,VGND,li1,30.8200,59.8400,0.000225
FILLER_18_41,VGND,li1,27.1400,59.8400,0.000183
FILLER_18_29,VGND,li1,21.6200,59.8400,0.000143
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000152
FILLER_18_21,VGND,li1,16.5600,59.8400,0.000152
FILLER_18_3,VGND,li1,9.6600,59.8400,0.000158
FILLER_17_167,VGND,li1,82.5700,59.8400,0.000516
FILLER_17_145,VGND,li1,72.6800,59.8400,0.000505
FILLER_17_133,VGND,li1,69.4600,59.8400,0.000494
FILLER_17_125,VGND,li1,63.9400,59.8400,0.000482
FILLER_17_113,VGND,li1,60.2600,59.8400,0.000475
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000225
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000225
FILLER_17_45,VGND,li1,28.0600,59.8400,0.000183
FILLER_17_33,VGND,li1,23.4600,59.8400,0.000139
FILLER_16_180,VGND,li1,89.0100,54.4000,0.000204
FILLER_16_160,VGND,li1,80.5000,54.4000,0.000201
FILLER_16_148,VGND,li1,76.3600,54.4000,0.000199
FILLER_16_108,VGND,li1,55.4300,54.4000,0.000168
FILLER_16_93,VGND,li1,48.5300,54.4000,0.000147
FILLER_16_85,VGND,li1,46.4600,54.4000,0.000137
FILLER_16_78,VGND,li1,42.7800,54.4000,0.000128
FILLER_16_71,VGND,li1,39.1000,54.4000,0.000115
FILLER_16_41,VGND,li1,24.8400,54.4000,0.000055
FILLER_16_29,VGND,li1,21.6200,54.4000,0.000058
FILLER_16_25,VGND,li1,17.7100,54.4000,0.000060
FILLER_16_11,VGND,li1,11.0400,54.4000,0.000062
FILLER_16_3,VGND,li1,8.7400,54.4000,0.000062
FILLER_15_181,VGND,li1,89.2400,54.4000,0.000204
FILLER_15_169,VGND,li1,86.0200,54.4000,0.000204
FILLER_15_165,VGND,li1,82.1100,54.4000,0.000203
FILLER_15_157,VGND,li1,79.5800,54.4000,0.000201
FILLER_15_145,VGND,li1,74.9800,54.4000,0.000199
FILLER_15_133,VGND,li1,69.4600,54.4000,0.000195
FILLER_15_125,VGND,li1,63.4800,54.4000,0.000188
FILLER_15_113,VGND,li1,60.2600,54.4000,0.000182
FILLER_15_109,VGND,li1,56.3500,54.4000,0.000168
FILLER_15_101,VGND,li1,52.2100,54.4000,0.000160
FILLER_15_93,VGND,li1,50.1400,54.4000,0.000153
FILLER_15_81,VGND,li1,45.5400,54.4000,0.000137
FILLER_15_69,VGND,li1,40.0200,54.4000,0.000115
FILLER_15_57,VGND,li1,34.5000,54.4000,0.000098
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000080
FILLER_15_31,VGND,li1,20.0100,54.4000,0.000058
FILLER_15_23,VGND,li1,17.9400,54.4000,0.000060
FILLER_15_15,VGND,li1,12.8800,54.4000,0.000062
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000062
FILLER_14_182,VGND,li1,89.4700,48.9600,0.000229
FILLER_14_170,VGND,li1,86.4800,48.9600,0.000229
FILLER_14_158,VGND,li1,80.9600,48.9600,0.000229
FILLER_14_153,VGND,li1,76.1300,48.9600,0.000229
FILLER_14_141,VGND,li1,73.1400,48.9600,0.000227
FILLER_14_128,VGND,li1,67.1600,48.9600,0.000219
FILLER_14_116,VGND,li1,61.6400,48.9600,0.000210
FILLER_14_104,VGND,li1,56.1200,48.9600,0.000198
FILLER_14_96,VGND,li1,49.9100,48.9600,0.000178
FILLER_14_92,VGND,li1,48.7600,48.9600,0.000178
FILLER_14_80,VGND,li1,43.2400,48.9600,0.000161
FILLER_14_68,VGND,li1,39.5600,48.9600,0.000147
FILLER_14_56,VGND,li1,34.0400,48.9600,0.000118
FILLER_14_44,VGND,li1,28.5200,48.9600,0.000094
FILLER_14_32,VGND,li1,23.0000,48.9600,0.000082
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000091
FILLER_13_181,VGND,li1,89.2400,48.9600,0.000229
FILLER_13_169,VGND,li1,86.0200,48.9600,0.000229
FILLER_13_167,VGND,li1,82.5700,48.9600,0.000229
FILLER_13_113,VGND,li1,59.3400,48.9600,0.000205
FILLER_13_100,VGND,li1,54.2800,48.9600,0.000193
FILLER_13_57,VGND,li1,33.5800,48.9600,0.000118
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000105
FILLER_13_26,VGND,li1,17.7100,48.9600,0.000091
FILLER_13_15,VGND,li1,13.1100,48.9600,0.000098
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000098
FILLER_12_160,VGND,li1,79.8100,43.5200,0.000617
FILLER_12_141,VGND,li1,72.2200,43.5200,0.000582
FILLER_12_139,VGND,li1,69.6900,43.5200,0.000560
FILLER_12_127,VGND,li1,66.7000,43.5200,0.000539
FILLER_12_99,VGND,li1,51.2900,43.5200,0.000431
FILLER_12_91,VGND,li1,49.2200,43.5200,0.000407
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000366
FILLER_12_74,VGND,li1,41.4000,43.5200,0.000332
FILLER_12_33,VGND,li1,20.9300,43.5200,0.000162
FILLER_12_29,VGND,li1,19.7800,43.5200,0.000163
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000163
FILLER_12_15,VGND,li1,15.1800,43.5200,0.000164
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000165
FILLER_11_182,VGND,li1,89.4700,43.5200,0.000625
FILLER_11_176,VGND,li1,87.8600,43.5200,0.000625
FILLER_11_167,VGND,li1,82.5700,43.5200,0.000622
FILLER_11_131,VGND,li1,68.5400,43.5200,0.000560
FILLER_11_113,VGND,li1,58.4200,43.5200,0.000484
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000468
FILLER_11_105,VGND,li1,55.2000,43.5200,0.000468
FILLER_11_93,VGND,li1,51.0600,43.5200,0.000431
FILLER_11_81,VGND,li1,45.5400,43.5200,0.000383
FILLER_11_69,VGND,li1,40.0200,43.5200,0.000332
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000282
FILLER_11_54,VGND,li1,30.8200,43.5200,0.000244
FILLER_11_46,VGND,li1,26.9100,43.5200,0.000191
FILLER_11_39,VGND,li1,23.6900,43.5200,0.000160
FILLER_11_31,VGND,li1,21.6200,43.5200,0.000162
FILLER_11_11,VGND,li1,11.0400,43.5200,0.000165
FILLER_11_3,VGND,li1,8.7400,43.5200,0.000165
FILLER_10_159,VGND,li1,79.5800,38.0800,0.000602
FILLER_10_149,VGND,li1,74.7500,38.0800,0.000598
FILLER_10_141,VGND,li1,72.2200,38.0800,0.000595
FILLER_10_137,VGND,li1,69.2300,38.0800,0.000587
FILLER_10_89,VGND,li1,46.9200,38.0800,0.000429
FILLER_10_81,VGND,li1,43.4700,38.0800,0.000408
FILLER_10_69,VGND,li1,40.0200,38.0800,0.000374
FILLER_10_57,VGND,li1,32.2000,38.0800,0.000275
FILLER_10_44,VGND,li1,26.2200,38.0800,0.000194
FILLER_10_36,VGND,li1,23.9200,38.0800,0.000161
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000170
FILLER_9_181,VGND,li1,89.2400,38.0800,0.000610
FILLER_9_169,VGND,li1,86.0200,38.0800,0.000610
FILLER_9_165,VGND,li1,82.1100,38.0800,0.000607
FILLER_9_113,VGND,li1,58.4200,38.0800,0.000536
FILLER_9_109,VGND,li1,56.3500,38.0800,0.000521
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000275
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000246
FILLER_9_51,VGND,li1,29.9000,38.0800,0.000246
FILLER_9_39,VGND,li1,26.2200,38.0800,0.000194
FILLER_9_27,VGND,li1,20.7000,38.0800,0.000167
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000173
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000177
FILLER_8_182,VGND,li1,89.4700,32.6400,0.000298
FILLER_8_176,VGND,li1,87.8600,32.6400,0.000298
FILLER_8_164,VGND,li1,83.7200,32.6400,0.000298
FILLER_8_149,VGND,li1,74.5200,32.6400,0.000296
FILLER_8_141,VGND,li1,72.2200,32.6400,0.000295
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000292
FILLER_8_135,VGND,li1,68.5400,32.6400,0.000292
FILLER_8_103,VGND,li1,54.7400,32.6400,0.000272
FILLER_8_85,VGND,li1,44.8500,32.6400,0.000237
FILLER_8_78,VGND,li1,42.7800,32.6400,0.000230
FILLER_8_37,VGND,li1,22.7700,32.6400,0.000119
FILLER_8_29,VGND,li1,20.7000,32.6400,0.000121
FILLER_8_20,VGND,li1,16.5600,32.6400,0.000127
FILLER_8_15,VGND,li1,12.6500,32.6400,0.000132
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000132
FILLER_7_181,VGND,li1,89.2400,32.6400,0.000298
FILLER_7_169,VGND,li1,86.0200,32.6400,0.000298
FILLER_7_164,VGND,li1,81.8800,32.6400,0.000298
FILLER_7_152,VGND,li1,78.2000,32.6400,0.000298
FILLER_7_140,VGND,li1,72.6800,32.6400,0.000295
FILLER_7_128,VGND,li1,67.1600,32.6400,0.000291
FILLER_7_119,VGND,li1,60.4900,32.6400,0.000285
FILLER_7_113,VGND,li1,58.8800,32.6400,0.000278
FILLER_7_89,VGND,li1,47.1500,32.6400,0.000247
