Metric,Value
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.154045
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,9
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.01655681194564481
clock__skew__worst_setup__corner:max_ss_100C_1v60,-0.01655681194564481
timing__hold__ws__corner:max_ss_100C_1v60,0.9550203120859215
timing__setup__ws__corner:max_ss_100C_1v60,8.277733399695066
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.955020
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,8.277734
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,9
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.00954621131386128
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.00954621131386128
timing__hold__ws__corner:max_ff_n40C_1v95,0.2984314546619876
timing__setup__ws__corner:max_ff_n40C_1v95,9.487556786521537
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.298431
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,9.487556
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,9
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,9
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.7992
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79979
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000804763
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000752261
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000193251
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000752261
design_powergrid__voltage__worst,0.000752261
design_powergrid__voltage__worst__net:vccd1,1.7992
design_powergrid__drop__worst,0.000804763
design_powergrid__drop__worst__net:vccd1,0.000804763
design_powergrid__voltage__worst__net:vssd1,0.000752261
design_powergrid__drop__worst__net:vssd1,0.000752261
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00021300000000000000031398494915180208408855833113193511962890625
ir__drop__worst,0.000805000000000000051451898297472098420257680118083953857421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
