net,length_um
dsa\[3\]._2_,2.3µm
dsa\[0\].y_out_next,2.28µm
dsa\[17\].last_carry_next,2.16µm
dsa\[20\]._2_,2.16µm
dsa\[8\].y_out_next,2.16µm
dsa\[10\]._2_,2.04µm
dsa\[11\]._2_,2.04µm
dsa\[1\]._2_,2.04µm
dsa\[29\]._2_,2.04µm
dsa\[6\]._2_,2.04µm
dsa\[23\]._2_,1.84µm
dsa\[9\]._2_,1.84µm
dsa\[22\]._2_,1.7µm
dsa\[27\]._2_,1.7µm
dsa\[28\]._2_,1.38µm
dsa\[7\]._2_,1.38µm
